system:index,bedrock,clay,dem,erosion,hand,latitude,longitude,precip,sand,slope,soc,spatial_fold,suit_score,twi,typhoon,.geo
0,0.0,26.0,20.0,11.283244132995605,20.0,18.57208377350686,110.08607844719722,1994.8236083984375,42.0,0.7773006558418274,3.0,1.0,0.7132785139233584,14.059710502624512,45.0,"{""type"":""Point"",""coordinates"":[110.08810890232886,18.574191833817743]}"
1,0.0,23.0,119.0,13.672635078430176,54.0,19.259294965858295,110.07709529435607,2133.71435546875,48.0,0.9256881475448608,3.0,2.0,0.7081768805542548,13.826116561889648,38.0,"{""type"":""Point"",""coordinates"":[110.0762289804326,19.25878917967303]}"
2,0.0,29.0,782.0,35.003929138183594,660.0,19.115564520399175,109.21022104518073,1758.2235107421875,47.0,14.568042755126953,9.0,2.0,0.554536271402295,10.527397155761719,39.0,"{""type"":""Point"",""coordinates"":[109.21153321873435,19.117709496100176]}"
3,0.0,32.0,399.0,28.07938003540039,202.0,19.052682450510808,109.40785040768702,1729.015869140625,36.0,7.013795375823975,4.0,2.0,0.5795295201824611,11.607999801635742,42.0,"{""type"":""Point"",""coordinates"":[109.40616044474183,19.05224947491745]}"
4,0.0,24.0,28.0,5.128530502319336,27.0,19.784809407068217,110.84066328585766,1528.947021484375,54.0,0.6697322726249695,5.0,4.0,0.6838083359957499,12.989968299865723,44.0,"{""type"":""Point"",""coordinates"":[110.83980343007184,19.78300707530415]}"
5,0.0,24.0,35.0,12.852396965026855,35.0,18.343013376056383,109.52463139462253,1719.6109619140625,54.0,1.763452172279358,3.0,0.0,0.693691623729922,13.23155689239502,41.0,"{""type"":""Point"",""coordinates"":[109.52405400224609,18.34376687831744]}"
6,0.0,24.0,109.0,11.25353717803955,40.0,19.33116018858786,110.18489312845037,2169.286865234375,49.0,0.573488712310791,3.0,3.0,0.7279527503027284,14.311075210571289,38.0,"{""type"":""Point"",""coordinates"":[110.18299536923713,19.332992612559522]}"
7,0.0,31.0,319.0,26.58236312866211,169.0,19.232345507334713,109.5964966173521,1914.7080078125,38.0,4.545291423797607,4.0,2.0,0.6156913455641865,12.102145195007324,39.0,"{""type"":""Point"",""coordinates"":[109.59548037989083,19.231223206054857]}"
8,0.0,24.0,142.0,30.4163818359375,68.0,19.367092799952644,109.86599120258796,2007.8226318359375,47.0,4.330911636352539,4.0,3.0,0.667597974614422,12.26711654663086,39.0,"{""type"":""Point"",""coordinates"":[109.86433697794055,19.368361250923613]}"
9,0.0,23.0,123.0,12.443471908569336,58.0,19.26827811869949,110.09057002361783,2133.71435546875,47.0,0.7491510510444641,3.0,2.0,0.6997501196214563,14.03529167175293,39.0,"{""type"":""Point"",""coordinates"":[110.08980111669506,19.26937602124172]}"
