system:index,bedrock,clay,dem,erosion,hand,latitude,longitude,precip,sand,slope,soc,spatial_fold,suit_score,twi,typhoon,.geo
10,0.0,29.0,314.0,30.021657943725586,137.0,19.196412895969935,109.51115666536077,2236.683349609375,42.0,3.5432252883911133,4.0,2.0,0.6420294010381628,12.355506896972656,38.0,"{""type"":""Point"",""coordinates"":[109.51118107193278,19.19556017992289]}"
11,0.0,23.0,95.0,12.340540885925293,63.0,19.18742974312874,110.09057002361783,2579.90234375,51.0,0.28679710626602173,4.0,2.0,0.7164817632538081,15.012548446655273,41.0,"{""type"":""Point"",""coordinates"":[110.09195616389174,19.188934739214496]}"
12,0.0,34.0,435.0,24.00330924987793,266.0,18.985308804201843,109.33598518495745,1915.8411865234375,35.0,4.194196701049805,5.0,2.0,0.5930037925892081,12.098433494567871,43.0,"{""type"":""Point"",""coordinates"":[109.33751059806242,18.986191382380255]}"
13,0.0,26.0,21.0,3.092589855194092,21.0,18.908952005051688,108.69818133323258,1138.0860595703125,48.0,0.38144540786743164,3.0,2.0,0.6620182056104587,14.771039009094238,45.0,"{""type"":""Point"",""coordinates"":[108.69825369182593,18.911193996435557]}"
14,0.0,21.0,5.0,2.7085342407226562,5.0,19.0706487561932,108.65326556902659,1135.8297119140625,52.0,0.19089336693286896,2.0,2.0,0.6804594581757555,15.472503662109375,45.0,"{""type"":""Point"",""coordinates"":[108.65141591852273,19.072525131509472]}"
15,0.0,30.0,431.0,40.03484344482422,325.0,18.670898454760014,109.28657784433085,1983.006103515625,48.0,9.457006454467773,4.0,1.0,0.5712099002835348,11.281061172485352,45.0,"{""type"":""Point"",""coordinates"":[109.2847778912522,18.670364713798442]}"
16,0.0,26.0,891.0,28.42015838623047,839.0,18.80115417095734,109.77615967417603,2306.14404296875,45.0,4.279400825500488,5.0,1.0,0.583312066852592,11.653231620788574,44.0,"{""type"":""Point"",""coordinates"":[109.77808464428385,18.799273336219024]}"
17,0.0,26.0,294.0,31.01197624206543,194.0,19.362601223532046,109.43030828978999,2228.86376953125,53.0,3.963064432144165,4.0,3.0,0.6459690100902039,12.25701904296875,37.0,"{""type"":""Point"",""coordinates"":[109.42906935415512,19.36197457933684]}"
18,0.0,30.0,37.0,14.435309410095215,34.0,19.308702306484875,110.47235401936865,2723.8681640625,35.0,0.34922704100608826,5.0,3.0,0.7536459137914756,14.830571174621582,41.0,"{""type"":""Point"",""coordinates"":[110.47400277738993,19.309877295542172]}"
19,0.0,28.0,567.0,37.71256637573242,511.0,19.12903924966097,109.13386424603056,1987.068603515625,48.0,9.053513526916504,7.0,2.0,0.5934668404944587,11.216785430908203,39.0,"{""type"":""Point"",""coordinates"":[109.13254875405156,19.129149918887588]}"
20,0.0,21.0,94.0,8.06708812713623,82.0,19.147005555343355,108.92725173068305,1652.5684814453125,60.0,0.8855273127555847,3.0,2.0,0.6369201153981545,13.885671615600586,41.0,"{""type"":""Point"",""coordinates"":[108.92561521850764,19.145648391904874]}"
21,0.0,25.0,24.0,10.066397666931152,27.0,18.805645747377937,110.33760672675072,2226.681396484375,49.0,0.3648683428764343,2.0,1.0,0.7112251665351511,14.813736915588379,47.0,"{""type"":""Point"",""coordinates"":[110.33576305265233,18.80409987967682]}"
22,0.0,32.0,16.0,7.164395332336426,17.0,19.838708324115387,109.2281873508631,1730.8367919921875,39.0,0.5304341912269592,2.0,4.0,0.7546807125285784,14.444181442260742,33.0,"{""type"":""Point"",""coordinates"":[109.23018151735306,19.837472322429264]}"
23,0.0,27.0,399.0,29.603498458862305,350.0,18.67988160760121,109.57403873524913,2237.180908203125,50.0,3.7796592712402344,4.0,1.0,0.5963223404073068,12.229805946350098,47.0,"{""type"":""Point"",""coordinates"":[109.57505530238222,18.67906145493333]}"
24,0.0,23.0,58.0,15.236577987670898,58.0,19.816250442012404,110.05014583583244,2346.8359375,51.0,0.9394810795783997,2.0,4.0,0.7373089451170386,13.57088565826416,34.0,"{""type"":""Point"",""coordinates"":[110.0483559827463,19.815380367891294]}"
